[2025-05-09 01:38:06] Starting experiment well=RO_31A_facies=7_iter=100_p=10_cmode=fixed_c1=[1.5,1.5]_c2=[1.5,1.5]_seed=310740
[2025-05-09 01:38:06] Parameters: {'well_name': 'RO_31A', 'facies': 7, 'iterations': 100, 'particles': 10, 'cmode': 0, 'c1_start': 1.5, 'c1_end': 1.5, 'c2_start': 1.5, 'c2_end': 1.5, 'seed': 310740, 'runtime': None, 'best_error': None, 'log_buffer': ['[2025-05-09 01:38:06] Starting experiment well=RO_31A_facies=7_iter=100_p=10_cmode=fixed_c1=[1.5,1.5]_c2=[1.5,1.5]_seed=310740'], 'id': 'well=RO_31A_facies=7_iter=100_p=10_cmode=fixed_c1=[1.5,1.5]_c2=[1.5,1.5]_seed=310740'}
[2025-05-09 01:38:06] Using random seed: 310740
[2025-05-09 01:38:10] HORIZONTE: (2943.6, 3089.8)
[2025-05-09 01:38:10] TOPO-1 :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 01:38:10] TOPO :: DEPT: 2943.6,Phi: 0.1296, Vp: 2.667
[2025-05-09 01:38:10] base :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 01:38:10] Data range: 0 to 80
[2025-05-09 01:38:11] Best of swarm: 2.0723745381290115
[2025-05-09 01:38:11] Best of swarm: 7.307923462253553e-07
[2025-05-09 01:38:12] Best of swarm: 3.878318141585606e-15
[2025-05-09 01:38:12] Best of swarm: 5.033114670833923e-07
[2025-05-09 01:38:13] Best of swarm: 3.7652268360201042e-06
[2025-05-09 01:38:15] Best of swarm: 2.5604917448492264e-07
[2025-05-09 01:38:15] Best of swarm: 1.8046548578892858
[2025-05-09 01:38:15] Best of swarm: 1.24823943514958e-06
[2025-05-09 01:38:16] Best of swarm: 1.1437166787856047e-09
[2025-05-09 01:38:17] Best of swarm: 1.8267604314333164e-07
[2025-05-09 01:38:17] Best of swarm: 3.1154301250272164e-12
[2025-05-09 01:38:19] Best of swarm: 3.6334292309288396e-08
[2025-05-09 01:38:19] Best of swarm: 2.4157690022609932
[2025-05-09 01:38:19] Best of swarm: 0.0009993144581792852
[2025-05-09 01:38:20] Best of swarm: 0.0009990769766419039
[2025-05-09 01:38:21] Best of swarm: 0.0009993177928665
[2025-05-09 01:38:21] Best of swarm: 0.0009992487627967371
[2025-05-09 01:38:23] Best of swarm: 0.0009993137733404444
[2025-05-09 01:38:23] Best of swarm: 1.4679125982677055
[2025-05-09 01:38:23] Best of swarm: 1.3794102243062303e-08
[2025-05-09 01:38:24] Best of swarm: 8.23169929148114e-05
[2025-05-09 01:38:25] Best of swarm: 2.8015293157772755e-06
[2025-05-09 01:38:25] Best of swarm: 2.8263574542338986e-06
[2025-05-09 01:38:27] Best of swarm: 8.999775585588372e-06
[2025-05-09 01:38:27] Best of swarm: 1.4428200101336806
[2025-05-09 01:38:28] Best of swarm: 1.6207788558534637e-09
[2025-05-09 01:38:28] Best of swarm: 1.306132771912475e-10
[2025-05-09 01:38:29] Best of swarm: 3.928749122028488e-08
[2025-05-09 01:38:30] Best of swarm: 6.542654827852961e-06
[2025-05-09 01:38:31] Best of swarm: 5.165462874968334e-07
[2025-05-09 01:38:32] Best of swarm: 1.9273058916602177
[2025-05-09 01:38:32] Best of swarm: 1.0716924784041847e-07
[2025-05-09 01:38:33] Best of swarm: 2.220764869166067e-06
[2025-05-09 01:38:33] Best of swarm: 2.1374009380118417e-12
[2025-05-09 01:38:34] Best of swarm: 2.129440455341431e-08
[2025-05-09 01:38:36] Best of swarm: 3.634126076654091e-08
[2025-05-09 01:38:36] Best of swarm: 2.1370768476856217
[2025-05-09 01:38:36] Best of swarm: 2.099673095680216e-05
[2025-05-09 01:38:37] Best of swarm: 3.555240448832088e-07
[2025-05-09 01:38:38] Best of swarm: 9.371381796254634e-07
[2025-05-09 01:38:38] Best of swarm: 4.5319653563960797e-10
[2025-05-09 01:38:40] Best of swarm: 1.214086144764106e-06
[2025-05-09 01:38:40] Best of swarm: 2.3121465957113188
[2025-05-09 01:38:40] Best of swarm: 6.378668777062532e-10
[2025-05-09 01:38:41] Best of swarm: 2.169741090473053e-12
[2025-05-09 01:38:42] Best of swarm: 2.8980202483953734e-12
[2025-05-09 01:38:42] Best of swarm: 4.0019326604629616e-10
[2025-05-09 01:38:44] Best of swarm: 6.383420557254644e-09
[2025-05-09 01:38:44] Best of swarm: 2.368134509831766
[2025-05-09 01:38:44] Best of swarm: 0.0002628268486165779
[2025-05-09 01:38:45] Best of swarm: 0.0002628496111464733
[2025-05-09 01:38:46] Best of swarm: 0.0002628285587863548
[2025-05-09 01:38:46] Best of swarm: 0.0002627931577762168
[2025-05-09 01:38:48] Best of swarm: 0.000262826497402358
[2025-05-09 01:38:48] Best of swarm: 2.2361446844634894
[2025-05-09 01:38:48] Best of swarm: 3.8787878013736984e-12
[2025-05-09 01:38:49] Best of swarm: 2.0751273757655133e-07
[2025-05-09 01:38:50] Best of swarm: 6.464459357056413e-08
[2025-05-09 01:38:50] Best of swarm: 5.7005596436023075e-09
[2025-05-09 01:38:52] Best of swarm: 1.0063873085716197e-06
[2025-05-09 01:38:52] Best of swarm: 2.148201533349977
[2025-05-09 01:38:53] Best of swarm: 4.3097010183113054e-08
[2025-05-09 01:38:53] Best of swarm: 5.146017270909616e-11
[2025-05-09 01:38:54] Best of swarm: 2.6544663908285566e-10
[2025-05-09 01:38:55] Best of swarm: 8.28011964497318e-11
[2025-05-09 01:38:56] Best of swarm: 6.608010279715664e-07
[2025-05-09 01:38:57] Best of swarm: 2.08708420731012
[2025-05-09 01:38:57] Best of swarm: 5.293504037789076e-09
[2025-05-09 01:38:58] Best of swarm: 3.8642268694686285e-08
[2025-05-09 01:38:58] Best of swarm: 2.669614213650077e-06
[2025-05-09 01:38:59] Best of swarm: 1.483879551927887e-09
[2025-05-09 01:39:01] Best of swarm: 1.1131732357979181e-05
[2025-05-09 01:39:01] Best of swarm: 1.7412766750441142
[2025-05-09 01:39:01] Best of swarm: 0.00041489455943740305
[2025-05-09 01:39:02] Best of swarm: 4.280557379854736e-07
[2025-05-09 01:39:03] Best of swarm: 1.886129728829356e-09
[2025-05-09 01:39:03] Best of swarm: 3.0474042305406773e-14
[2025-05-09 01:39:05] Best of swarm: 8.511059233320627e-07
[2025-05-09 01:39:05] Best of swarm: 1.9852089430423632
[2025-05-09 01:39:05] Best of swarm: 1.2607356326517173e-07
[2025-05-09 01:39:06] Best of swarm: 4.233657483917232e-12
[2025-05-09 01:39:07] Best of swarm: 5.239011839260569e-08
[2025-05-09 01:39:07] Best of swarm: 1.8731006393462282e-07
[2025-05-09 01:39:09] Best of swarm: 0.00017490993871980404
[2025-05-09 01:39:09] Best of swarm: 2.2830437266645265
[2025-05-09 01:39:09] Best of swarm: 5.786718234783317e-09
[2025-05-09 01:39:10] Best of swarm: 3.633207231438865e-10
[2025-05-09 01:39:11] Best of swarm: 1.0940373817504039e-14
[2025-05-09 01:39:11] Best of swarm: 2.977136776380509e-10
[2025-05-09 01:39:13] Best of swarm: 5.153612299989885e-07
[2025-05-09 01:39:13] Best of swarm: 2.310626271281798
[2025-05-09 01:39:13] Best of swarm: 6.272906751620867e-10
[2025-05-09 01:39:14] Best of swarm: 5.1015967929448803e-11
[2025-05-09 01:39:15] Best of swarm: 3.431081298834616e-07
[2025-05-09 01:39:15] Best of swarm: 2.5193454162072433e-10
[2025-05-09 01:39:17] Best of swarm: 5.098471743849731e-08
[2025-05-09 01:39:17] Best of swarm: 1.8615175839291427
[2025-05-09 01:39:18] Best of swarm: 8.583364565540979e-08
[2025-05-09 01:39:18] Best of swarm: 0.0009570704815661563
[2025-05-09 01:39:19] Best of swarm: 1.298485453099899e-09
[2025-05-09 01:39:20] Best of swarm: 7.119370961173437e-06
[2025-05-09 01:39:21] Best of swarm: 1.2264431146353221e-05
[2025-05-09 01:39:22] Best of swarm: 1.692274281380051
[2025-05-09 01:39:22] Best of swarm: 4.6346360047891456e-11
[2025-05-09 01:39:23] Best of swarm: 5.244540961699354e-13
[2025-05-09 01:39:23] Best of swarm: 4.411608903788261e-09
[2025-05-09 01:39:24] Best of swarm: 2.1981241533490615e-09
[2025-05-09 01:39:25] Best of swarm: 4.0606568202613407e-08
[2025-05-09 01:39:26] Best of swarm: 1.692274281380051
[2025-05-09 01:39:26] Best of swarm: 1.8309046935893394e-08
[2025-05-09 01:39:27] Best of swarm: 0.00012909586125336216
[2025-05-09 01:39:27] Best of swarm: 1.8812052017580623e-06
[2025-05-09 01:39:28] Best of swarm: 1.5275582495531544e-05
[2025-05-09 01:39:30] Best of swarm: 1.2792793474147317e-05
[2025-05-09 01:39:30] Best of swarm: 1.4844362505091833
[2025-05-09 01:39:30] Best of swarm: 4.584478932661623e-06
[2025-05-09 01:39:31] Best of swarm: 8.47818190783184e-07
[2025-05-09 01:39:32] Best of swarm: 1.331990296145033e-07
[2025-05-09 01:39:32] Best of swarm: 1.2954184230533577e-06
[2025-05-09 01:39:34] Best of swarm: 1.0518870003735422e-05
[2025-05-09 01:39:34] Best of swarm: 1.5469748315288199
[2025-05-09 01:39:34] Best of swarm: 1.569074929647691e-11
[2025-05-09 01:39:35] Best of swarm: 2.759513027532721e-09
[2025-05-09 01:39:36] Best of swarm: 2.0052655624148956e-08
[2025-05-09 01:39:36] Best of swarm: 9.473408020643971e-12
[2025-05-09 01:39:38] Best of swarm: 5.164608157498741e-07
[2025-05-09 01:39:38] Best of swarm: 1.6001603073404849
[2025-05-09 01:39:38] Best of swarm: 2.9068359029264646e-10
[2025-05-09 01:39:39] Best of swarm: 3.1973994947622096e-11
[2025-05-09 01:39:40] Best of swarm: 9.42221115345823e-08
[2025-05-09 01:39:40] Best of swarm: 9.8693479720724e-10
[2025-05-09 01:39:42] Best of swarm: 6.607944857559608e-05
[2025-05-09 01:39:42] Best of swarm: 1.6439712677159868
[2025-05-09 01:39:43] Best of swarm: 1.935239652997784e-08
[2025-05-09 01:39:43] Best of swarm: 8.829231073282272e-06
[2025-05-09 01:39:44] Best of swarm: 1.3354790874255543e-08
[2025-05-09 01:39:44] Best of swarm: 4.5514907074747334e-07
[2025-05-09 01:39:46] Best of swarm: 2.887264949508558e-06
[2025-05-09 01:39:46] Best of swarm: 1.8751863282243466
[2025-05-09 01:39:47] Best of swarm: 9.228959613969799e-08
[2025-05-09 01:39:47] Best of swarm: 1.1936540259387318e-06
[2025-05-09 01:39:48] Best of swarm: 4.965718321920181e-07
