[2025-05-08 17:04:20] Starting experiment well=RO_31A_facies=7_iter=50_p=20_cmode=fixed_c1=[2.0,2.0]_c2=[1.5,1.5]_seed=170127
[2025-05-08 17:04:20] Parameters: {'well_name': 'RO_31A', 'facies': 7, 'iterations': 50, 'particles': 20, 'cmode': 0, 'c1_start': 2.0, 'c1_end': 2.0, 'c2_start': 1.5, 'c2_end': 1.5, 'seed': 170127, 'runtime': None, 'best_error': None, 'log_buffer': ['[2025-05-08 17:04:20] Starting experiment well=RO_31A_facies=7_iter=50_p=20_cmode=fixed_c1=[2.0,2.0]_c2=[1.5,1.5]_seed=170127'], 'id': 'well=RO_31A_facies=7_iter=50_p=20_cmode=fixed_c1=[2.0,2.0]_c2=[1.5,1.5]_seed=170127'}
[2025-05-08 17:04:20] Using random seed: 170127
[2025-05-08 17:04:25] HORIZONTE: (2943.6, 3089.8)
[2025-05-08 17:04:25] TOPO-1 :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-08 17:04:25] TOPO :: DEPT: 2943.6,Phi: 0.1296, Vp: 2.667
[2025-05-08 17:04:25] base :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-08 17:04:25] Data range: 0 to 80
[2025-05-08 17:04:26] Best of swarm: 2.0723745381290115
[2025-05-08 17:04:26] Best of swarm: 2.999813183177064e-07
[2025-05-08 17:04:27] Best of swarm: 4.2310311971016397e-07
[2025-05-08 17:04:28] Best of swarm: 2.4107598072216895e-05
[2025-05-08 17:04:28] Best of swarm: 6.470181611702577e-09
[2025-05-08 17:04:30] Best of swarm: 5.107894967606519e-06
[2025-05-08 17:04:30] Best of swarm: 1.8046548578892858
[2025-05-08 17:04:30] Best of swarm: 0.00012543379151573077
[2025-05-08 17:04:31] Best of swarm: 3.082977829377819e-06
[2025-05-08 17:04:32] Best of swarm: 6.744016893926405e-06
[2025-05-08 17:04:33] Best of swarm: 7.954347349210537e-07
[2025-05-08 17:04:35] Best of swarm: 3.410422681792061e-05
[2025-05-08 17:04:35] Best of swarm: 2.4157690022609932
[2025-05-08 17:04:35] Best of swarm: 0.0009993144581792852
[2025-05-08 17:04:36] Best of swarm: 0.0009993588427649543
[2025-05-08 17:04:37] Best of swarm: 0.0009993177928665
[2025-05-08 17:04:37] Best of swarm: 0.0009992487627967371
[2025-05-08 17:04:39] Best of swarm: 0.0009993137733404444
[2025-05-08 17:04:40] Best of swarm: 1.4679125982677055
[2025-05-08 17:04:40] Best of swarm: 0.0013490762960097786
[2025-05-08 17:04:41] Best of swarm: 0.0009707107380716936
[2025-05-08 17:04:41] Best of swarm: 5.4033883718470245e-06
[2025-05-08 17:04:42] Best of swarm: 0.00030509903703018965
[2025-05-08 17:04:44] Best of swarm: 2.459001743664465e-05
[2025-05-08 17:04:44] Best of swarm: 1.4428200101336806
[2025-05-08 17:04:44] Best of swarm: 1.3913377618775085e-07
[2025-05-08 17:04:45] Best of swarm: 7.182304449189781e-08
[2025-05-08 17:04:46] Best of swarm: 3.492966395067045e-05
[2025-05-08 17:04:46] Best of swarm: 1.5344096943021465e-07
[2025-05-08 17:04:48] Best of swarm: 0.0007714614459556648
[2025-05-08 17:04:48] Best of swarm: 1.9273058916602177
[2025-05-08 17:04:49] Best of swarm: 2.28897231979636e-06
[2025-05-08 17:04:49] Best of swarm: 2.1357452293606667e-05
[2025-05-08 17:04:50] Best of swarm: 3.4877768123117015e-07
[2025-05-08 17:04:51] Best of swarm: 1.636288447520317e-05
[2025-05-08 17:04:53] Best of swarm: 3.99358749540745e-06
[2025-05-08 17:04:53] Best of swarm: 2.1370768476856217
[2025-05-08 17:04:53] Best of swarm: 6.284447299930064e-06
[2025-05-08 17:04:54] Best of swarm: 1.0012448961132819e-07
[2025-05-08 17:04:55] Best of swarm: 2.5510677835090304e-08
[2025-05-08 17:04:55] Best of swarm: 1.2696690845027246e-07
[2025-05-08 17:04:57] Best of swarm: 1.2287739739663904e-05
[2025-05-08 17:04:57] Best of swarm: 2.3121465957113188
[2025-05-08 17:04:57] Best of swarm: 4.3600138764502324e-06
[2025-05-08 17:04:58] Best of swarm: 3.519462851605867e-10
[2025-05-08 17:04:59] Best of swarm: 4.359793613167593e-06
[2025-05-08 17:04:59] Best of swarm: 8.519949013519922e-14
[2025-05-08 17:05:01] Best of swarm: 4.360059112266837e-06
[2025-05-08 17:05:01] Best of swarm: 2.368134509831766
[2025-05-08 17:05:02] Best of swarm: 0.0002628268486165779
[2025-05-08 17:05:02] Best of swarm: 0.0002628496111464733
[2025-05-08 17:05:03] Best of swarm: 0.0002628285587863548
[2025-05-08 17:05:04] Best of swarm: 0.00026271400457049214
[2025-05-08 17:05:06] Best of swarm: 0.000262826497402358
[2025-05-08 17:05:06] Best of swarm: 2.2361446844634894
[2025-05-08 17:05:06] Best of swarm: 4.081130859779714e-07
[2025-05-08 17:05:07] Best of swarm: 2.231034111000945e-09
[2025-05-08 17:05:08] Best of swarm: 1.1813764466533101e-07
[2025-05-08 17:05:08] Best of swarm: 3.2819279495230135e-06
