[2025-05-08 17:10:50] Starting experiment well=RO_31A_facies=7_iter=100_p=20_cmode=fixed_c1=[2.0,2.0]_c2=[1.0,1.0]_seed=816017
[2025-05-08 17:10:50] Parameters: {'well_name': 'RO_31A', 'facies': 7, 'iterations': 100, 'particles': 20, 'cmode': 0, 'c1_start': 2.0, 'c1_end': 2.0, 'c2_start': 1.0, 'c2_end': 1.0, 'seed': 816017, 'runtime': None, 'best_error': None, 'log_buffer': ['[2025-05-08 17:10:50] Starting experiment well=RO_31A_facies=7_iter=100_p=20_cmode=fixed_c1=[2.0,2.0]_c2=[1.0,1.0]_seed=816017'], 'id': 'well=RO_31A_facies=7_iter=100_p=20_cmode=fixed_c1=[2.0,2.0]_c2=[1.0,1.0]_seed=816017'}
[2025-05-08 17:10:50] Using random seed: 816017
[2025-05-08 17:10:54] HORIZONTE: (2943.6, 3089.8)
[2025-05-08 17:10:54] TOPO-1 :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-08 17:10:54] TOPO :: DEPT: 2943.6,Phi: 0.1296, Vp: 2.667
[2025-05-08 17:10:54] base :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-08 17:10:54] Data range: 0 to 80
[2025-05-08 17:10:55] Best of swarm: 2.0723745381290115
[2025-05-08 17:10:55] Best of swarm: 4.334037040977363e-09
[2025-05-08 17:10:57] Best of swarm: 1.1715099210480631e-07
[2025-05-08 17:10:58] Best of swarm: 7.168006433551663e-10
[2025-05-08 17:10:59] Best of swarm: 1.406821619889561e-06
[2025-05-08 17:11:03] Best of swarm: 3.9652996908692244e-08
[2025-05-08 17:11:04] Best of swarm: 1.8046548578892858
[2025-05-08 17:11:04] Best of swarm: 1.1491167697795278e-09
[2025-05-08 17:11:06] Best of swarm: 3.2772873859926736e-09
[2025-05-08 17:11:07] Best of swarm: 1.6524345104410996e-08
[2025-05-08 17:11:08] Best of swarm: 5.856145475749981e-08
[2025-05-08 17:11:12] Best of swarm: 9.201286541712493e-09
[2025-05-08 17:11:13] Best of swarm: 2.4157690022609932
[2025-05-08 17:11:13] Best of swarm: 0.0009993144581792852
[2025-05-08 17:11:15] Best of swarm: 0.0009991106147497811
[2025-05-08 17:11:16] Best of swarm: 0.0009993177928665
[2025-05-08 17:11:17] Best of swarm: 0.0009992487627967371
[2025-05-08 17:11:21] Best of swarm: 0.0009993137733404444
[2025-05-08 17:11:21] Best of swarm: 1.4679125982677055
[2025-05-08 17:11:22] Best of swarm: 9.909095517637448e-11
[2025-05-08 17:11:24] Best of swarm: 2.603589440390189e-09
[2025-05-08 17:11:25] Best of swarm: 2.984485470312229e-11
[2025-05-08 17:11:26] Best of swarm: 1.2894042859540038e-05
[2025-05-08 17:11:30] Best of swarm: 3.443393752332888e-06
[2025-05-08 17:11:30] Best of swarm: 1.4428200101336806
[2025-05-08 17:11:31] Best of swarm: 5.149799981176707e-11
[2025-05-08 17:11:33] Best of swarm: 7.642518853097006e-11
[2025-05-08 17:11:34] Best of swarm: 2.3959248440861426e-09
[2025-05-08 17:11:35] Best of swarm: 1.0818196206815997e-08
[2025-05-08 17:11:39] Best of swarm: 8.262130181620222e-07
[2025-05-08 17:11:40] Best of swarm: 1.9273058916602177
[2025-05-08 17:11:40] Best of swarm: 4.662978635743184e-09
[2025-05-08 17:11:42] Best of swarm: 5.555682624203657e-10
[2025-05-08 17:11:44] Best of swarm: 2.458291484167237e-07
[2025-05-08 17:11:44] Best of swarm: 1.705226453519603e-08
[2025-05-08 17:11:48] Best of swarm: 5.299842520964667e-12
[2025-05-08 17:11:49] Best of swarm: 2.1370768476856217
[2025-05-08 17:11:49] Best of swarm: 1.3910681988692444e-09
[2025-05-08 17:11:51] Best of swarm: 1.4427851277437985e-14
[2025-05-08 17:11:53] Best of swarm: 1.5177121267789696e-10
[2025-05-08 17:11:54] Best of swarm: 9.099402007712338e-10
[2025-05-08 17:11:57] Best of swarm: 3.079935710661752e-09
[2025-05-08 17:11:58] Best of swarm: 2.3121465957113188
[2025-05-08 17:11:58] Best of swarm: 1.0082589268409382e-08
[2025-05-08 17:12:00] Best of swarm: 3.500684054065917e-10
[2025-05-08 17:12:02] Best of swarm: 2.5748367821418226e-13
[2025-05-08 17:12:03] Best of swarm: 2.936943862184899e-12
[2025-05-08 17:12:07] Best of swarm: 6.409558554540886e-12
[2025-05-08 17:12:07] Best of swarm: 2.368134509831766
[2025-05-08 17:12:07] Best of swarm: 0.0002628268486165779
[2025-05-08 17:12:09] Best of swarm: 0.0002628496111464733
[2025-05-08 17:12:11] Best of swarm: 0.0002628285587863548
[2025-05-08 17:12:12] Best of swarm: 0.0002627931577762168
[2025-05-08 17:12:15] Best of swarm: 0.000262826497402358
[2025-05-08 17:12:16] Best of swarm: 2.2361446844634894
[2025-05-08 17:12:16] Best of swarm: 3.5726142417968613e-12
[2025-05-08 17:12:18] Best of swarm: 2.994327753715045e-08
[2025-05-08 17:12:20] Best of swarm: 1.1827825974592697e-08
[2025-05-08 17:12:21] Best of swarm: 2.5759223637445273e-10
[2025-05-08 17:12:25] Best of swarm: 4.3756072069966554e-10
[2025-05-08 17:12:25] Best of swarm: 2.148201533349977
[2025-05-08 17:12:26] Best of swarm: 1.8805890814542707e-07
[2025-05-08 17:12:27] Best of swarm: 3.677420882696708e-12
[2025-05-08 17:12:29] Best of swarm: 4.755745965568521e-09
[2025-05-08 17:12:30] Best of swarm: 4.756651456228886e-11
[2025-05-08 17:12:34] Best of swarm: 2.697306845179882e-11
[2025-05-08 17:12:34] Best of swarm: 2.08708420731012
[2025-05-08 17:12:35] Best of swarm: 1.2986558106241798e-12
[2025-05-08 17:12:36] Best of swarm: 5.66739505378485e-08
[2025-05-08 17:12:38] Best of swarm: 5.16998273607088e-08
[2025-05-08 17:12:39] Best of swarm: 5.2886842180526233e-11
[2025-05-08 17:12:43] Best of swarm: 4.063645944764764e-09
[2025-05-08 17:12:43] Best of swarm: 1.7412766750441142
[2025-05-08 17:12:44] Best of swarm: 7.996781682869656e-10
[2025-05-08 17:12:45] Best of swarm: 2.1948082443883264e-08
[2025-05-08 17:12:47] Best of swarm: 2.6809683247905515e-10
[2025-05-08 17:12:48] Best of swarm: 8.837435935209432e-07
[2025-05-08 17:12:52] Best of swarm: 1.093354496018001e-07
[2025-05-08 17:12:52] Best of swarm: 1.9852089430423632
[2025-05-08 17:12:53] Best of swarm: 1.9964407273805825e-08
[2025-05-08 17:12:54] Best of swarm: 7.263666093059008e-08
[2025-05-08 17:12:56] Best of swarm: 2.1459200332213162e-05
[2025-05-08 17:12:57] Best of swarm: 2.711256484966187e-09
[2025-05-08 17:13:01] Best of swarm: 1.4790446131739761e-09
[2025-05-08 17:13:01] Best of swarm: 2.2830437266645265
[2025-05-08 17:13:02] Best of swarm: 2.7649802365932036e-10
[2025-05-08 17:13:04] Best of swarm: 1.035532639663632e-09
[2025-05-08 17:13:05] Best of swarm: 1.5440952179014429e-10
[2025-05-08 17:13:06] Best of swarm: 2.727099117066835e-09
[2025-05-08 17:13:10] Best of swarm: 8.917186132646052e-10
[2025-05-08 17:13:10] Best of swarm: 2.310626271281798
[2025-05-08 17:13:11] Best of swarm: 2.882020387164954e-14
[2025-05-08 17:13:13] Best of swarm: 5.3065427421787004e-15
[2025-05-08 17:13:14] Best of swarm: 2.3214520542167074e-13
[2025-05-08 17:13:15] Best of swarm: 2.2529780578580186e-10
[2025-05-08 17:13:19] Best of swarm: 1.1194002866469927e-13
[2025-05-08 17:13:20] Best of swarm: 1.8615175839291427
[2025-05-08 17:13:20] Best of swarm: 2.731287821205001e-08
[2025-05-08 17:13:22] Best of swarm: 9.246080542220645e-09
[2025-05-08 17:13:23] Best of swarm: 2.1193890411006053e-13
[2025-05-08 17:13:24] Best of swarm: 8.700070672871954e-07
[2025-05-08 17:13:28] Best of swarm: 8.085315366983046e-06
[2025-05-08 17:13:29] Best of swarm: 1.692274281380051
[2025-05-08 17:13:29] Best of swarm: 1.3284710245383722e-08
[2025-05-08 17:13:31] Best of swarm: 1.2649835619256325e-07
[2025-05-08 17:13:33] Best of swarm: 6.329106712163217e-08
[2025-05-08 17:13:34] Best of swarm: 4.43861890288255e-09
[2025-05-08 17:13:37] Best of swarm: 5.4107195824544665e-09
[2025-05-08 17:13:38] Best of swarm: 1.692274281380051
[2025-05-08 17:13:38] Best of swarm: 1.1594652611533397e-09
[2025-05-08 17:13:40] Best of swarm: 1.35990770642304e-07
[2025-05-08 17:13:42] Best of swarm: 1.359435977913383e-09
[2025-05-08 17:13:43] Best of swarm: 3.830357680701912e-10
[2025-05-08 17:13:46] Best of swarm: 1.2403195645614354e-08
[2025-05-08 17:13:47] Best of swarm: 1.4844362505091833
[2025-05-08 17:13:47] Best of swarm: 1.6248979986180967e-11
[2025-05-08 17:13:49] Best of swarm: 8.544932795911182e-10
[2025-05-08 17:13:51] Best of swarm: 4.062360315868963e-08
[2025-05-08 17:13:52] Best of swarm: 2.7731135450055467e-08
[2025-05-08 17:13:55] Best of swarm: 8.252698314216211e-12
[2025-05-08 17:13:56] Best of swarm: 1.5469748315288199
[2025-05-08 17:13:56] Best of swarm: 3.9125373986860275e-10
[2025-05-08 17:13:58] Best of swarm: 2.9084784904983377e-08
[2025-05-08 17:14:00] Best of swarm: 1.1657456526372779e-07
[2025-05-08 17:14:00] Best of swarm: 2.751887503334593e-07
[2025-05-08 17:14:04] Best of swarm: 3.288871660597441e-08
[2025-05-08 17:14:05] Best of swarm: 1.6001603073404849
[2025-05-08 17:14:05] Best of swarm: 3.3850376142591633e-08
[2025-05-08 17:14:07] Best of swarm: 6.966930005560894e-10
[2025-05-08 17:14:09] Best of swarm: 2.084869121546298e-08
[2025-05-08 17:14:09] Best of swarm: 2.21892315966546e-08
[2025-05-08 17:14:13] Best of swarm: 1.0112641686211632e-09
[2025-05-08 17:14:14] Best of swarm: 1.6439712677159868
[2025-05-08 17:14:14] Best of swarm: 3.434441063996912e-10
[2025-05-08 17:14:16] Best of swarm: 1.3430648942801554e-08
[2025-05-08 17:14:17] Best of swarm: 4.384901764718324e-09
[2025-05-08 17:14:18] Best of swarm: 9.3427549829226e-10
[2025-05-08 17:14:22] Best of swarm: 1.6715967733813706e-11
[2025-05-08 17:14:23] Best of swarm: 1.8751863282243466
[2025-05-08 17:14:23] Best of swarm: 5.971105232767949e-09
[2025-05-08 17:14:25] Best of swarm: 9.086702229190932e-10
[2025-05-08 17:14:26] Best of swarm: 3.5573841832255523e-09
[2025-05-08 17:14:27] Best of swarm: 3.938904777557892e-12
[2025-05-08 17:14:31] Best of swarm: 1.1800395347010367e-12
[2025-05-08 17:14:31] Best of swarm: 2.0537023205452463
[2025-05-08 17:14:32] Best of swarm: 2.370163678821039e-08
[2025-05-08 17:14:34] Best of swarm: 5.6172676539953254e-09
[2025-05-08 17:14:35] Best of swarm: 4.472707126566118e-09
[2025-05-08 17:14:36] Best of swarm: 6.29515813117373e-09
[2025-05-08 17:14:40] Best of swarm: 3.551379243689004e-09
[2025-05-08 17:14:40] Best of swarm: 1.8240512896743788
[2025-05-08 17:14:41] Best of swarm: 8.138947819095704e-08
[2025-05-08 17:14:42] Best of swarm: 2.5651693476744544e-09
[2025-05-08 17:14:44] Best of swarm: 1.2538721383845814e-08
