[2025-05-09 01:32:16] Starting experiment well=RO_31A_facies=7_iter=100_p=10_cmode=fixed_c1=[2.0,2.0]_c2=[1.5,1.5]_seed=962579
[2025-05-09 01:32:16] Parameters: {'well_name': 'RO_31A', 'facies': 7, 'iterations': 100, 'particles': 10, 'cmode': 0, 'c1_start': 2.0, 'c1_end': 2.0, 'c2_start': 1.5, 'c2_end': 1.5, 'seed': 962579, 'runtime': None, 'best_error': None, 'log_buffer': ['[2025-05-09 01:32:16] Starting experiment well=RO_31A_facies=7_iter=100_p=10_cmode=fixed_c1=[2.0,2.0]_c2=[1.5,1.5]_seed=962579'], 'id': 'well=RO_31A_facies=7_iter=100_p=10_cmode=fixed_c1=[2.0,2.0]_c2=[1.5,1.5]_seed=962579'}
[2025-05-09 01:32:16] Using random seed: 962579
[2025-05-09 01:32:20] HORIZONTE: (2943.6, 3089.8)
[2025-05-09 01:32:20] TOPO-1 :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 01:32:20] TOPO :: DEPT: 2943.6,Phi: 0.1296, Vp: 2.667
[2025-05-09 01:32:20] base :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 01:32:20] Data range: 0 to 80
[2025-05-09 01:32:20] Best of swarm: 2.0723745381290115
[2025-05-09 01:32:21] Best of swarm: 3.086368638596126e-06
[2025-05-09 01:32:21] Best of swarm: 2.355197685985604e-05
[2025-05-09 01:32:22] Best of swarm: 2.491952287686414e-06
[2025-05-09 01:32:22] Best of swarm: 4.1746549374411257e-07
[2025-05-09 01:32:24] Best of swarm: 6.170533097675402e-06
[2025-05-09 01:32:24] Best of swarm: 1.8046548578892858
[2025-05-09 01:32:25] Best of swarm: 3.5554748028369964e-06
[2025-05-09 01:32:26] Best of swarm: 5.5040924968780784e-11
[2025-05-09 01:32:26] Best of swarm: 2.071186533775595e-08
[2025-05-09 01:32:27] Best of swarm: 3.938431359810484e-10
[2025-05-09 01:32:29] Best of swarm: 4.1141653433354315e-06
[2025-05-09 01:32:29] Best of swarm: 2.4157690022609932
[2025-05-09 01:32:29] Best of swarm: 0.0009993144581792852
[2025-05-09 01:32:30] Best of swarm: 0.0009993527381147
[2025-05-09 01:32:30] Best of swarm: 0.0009993177928665
[2025-05-09 01:32:31] Best of swarm: 0.0009992487627967371
[2025-05-09 01:32:33] Best of swarm: 0.0009993137733404444
[2025-05-09 01:32:33] Best of swarm: 1.4679125982677055
[2025-05-09 01:32:33] Best of swarm: 2.570611346691446e-11
[2025-05-09 01:32:34] Best of swarm: 1.5740770208229275e-05
[2025-05-09 01:32:35] Best of swarm: 8.015246704386222e-06
[2025-05-09 01:32:35] Best of swarm: 5.17922510980437e-08
[2025-05-09 01:32:37] Best of swarm: 0.0008884740517066052
[2025-05-09 01:32:37] Best of swarm: 1.4428200101336806
[2025-05-09 01:32:37] Best of swarm: 2.980207553563907e-05
[2025-05-09 01:32:38] Best of swarm: 1.0660162669492143e-07
[2025-05-09 01:32:39] Best of swarm: 1.8857986174034024e-08
[2025-05-09 01:32:39] Best of swarm: 1.7001107028797713e-08
[2025-05-09 01:32:41] Best of swarm: 6.584494778732535e-08
[2025-05-09 01:32:41] Best of swarm: 1.9273058916602177
[2025-05-09 01:32:41] Best of swarm: 9.188508497853228e-12
[2025-05-09 01:32:42] Best of swarm: 2.914183585323739e-05
[2025-05-09 01:32:43] Best of swarm: 1.193462289153436e-06
[2025-05-09 01:32:43] Best of swarm: 5.126779342858418e-07
[2025-05-09 01:32:45] Best of swarm: 7.96995962252353e-07
[2025-05-09 01:32:45] Best of swarm: 2.1370768476856217
[2025-05-09 01:32:46] Best of swarm: 4.7414080490610545e-08
[2025-05-09 01:32:46] Best of swarm: 2.9592275277958887e-06
[2025-05-09 01:32:47] Best of swarm: 4.508466116095887e-11
[2025-05-09 01:32:48] Best of swarm: 1.567125510619491e-05
[2025-05-09 01:32:49] Best of swarm: 1.0490841260345951e-08
[2025-05-09 01:32:50] Best of swarm: 2.3121465957113188
[2025-05-09 01:32:50] Best of swarm: 6.761150419643899e-10
[2025-05-09 01:32:51] Best of swarm: 1.8296937229323508e-08
[2025-05-09 01:32:51] Best of swarm: 6.509325296909012e-10
[2025-05-09 01:32:52] Best of swarm: 2.438058842751529e-09
[2025-05-09 01:32:54] Best of swarm: 3.4088193608889167e-09
[2025-05-09 01:32:54] Best of swarm: 2.368134509831766
[2025-05-09 01:32:54] Best of swarm: 0.0002628268486165779
[2025-05-09 01:32:55] Best of swarm: 0.0002628496111464733
[2025-05-09 01:32:55] Best of swarm: 0.0002628285587863548
[2025-05-09 01:32:56] Best of swarm: 0.0002627931577762168
[2025-05-09 01:32:58] Best of swarm: 0.000262826497402358
[2025-05-09 01:32:58] Best of swarm: 2.2361446844634894
[2025-05-09 01:32:58] Best of swarm: 2.9295444505944838e-08
[2025-05-09 01:32:59] Best of swarm: 5.249506939558379e-08
[2025-05-09 01:33:00] Best of swarm: 9.03565365850938e-07
[2025-05-09 01:33:00] Best of swarm: 1.5306446577666186e-05
[2025-05-09 01:33:02] Best of swarm: 3.1681150886391554e-09
[2025-05-09 01:33:02] Best of swarm: 2.148201533349977
[2025-05-09 01:33:02] Best of swarm: 2.8699384555093456e-07
[2025-05-09 01:33:03] Best of swarm: 6.499671433835258e-12
[2025-05-09 01:33:04] Best of swarm: 7.098533791408208e-07
[2025-05-09 01:33:04] Best of swarm: 4.057947468885709e-06
[2025-05-09 01:33:06] Best of swarm: 8.549983020377664e-10
[2025-05-09 01:33:06] Best of swarm: 2.08708420731012
[2025-05-09 01:33:06] Best of swarm: 8.21509693175468e-07
[2025-05-09 01:33:07] Best of swarm: 1.1910303336432346e-07
[2025-05-09 01:33:08] Best of swarm: 0.00018968123686467601
[2025-05-09 01:33:08] Best of swarm: 1.0777237812227228e-09
