[2025-05-09 01:37:57] Starting experiment well=RO_31A_facies=7_iter=100_p=10_cmode=fixed_c1=[1.5,1.5]_c2=[0.5,0.5]_seed=805861
[2025-05-09 01:37:57] Parameters: {'well_name': 'RO_31A', 'facies': 7, 'iterations': 100, 'particles': 10, 'cmode': 0, 'c1_start': 1.5, 'c1_end': 1.5, 'c2_start': 0.5, 'c2_end': 0.5, 'seed': 805861, 'runtime': None, 'best_error': None, 'log_buffer': ['[2025-05-09 01:37:57] Starting experiment well=RO_31A_facies=7_iter=100_p=10_cmode=fixed_c1=[1.5,1.5]_c2=[0.5,0.5]_seed=805861'], 'id': 'well=RO_31A_facies=7_iter=100_p=10_cmode=fixed_c1=[1.5,1.5]_c2=[0.5,0.5]_seed=805861'}
[2025-05-09 01:37:57] Using random seed: 805861
[2025-05-09 01:38:02] HORIZONTE: (2943.6, 3089.8)
[2025-05-09 01:38:02] TOPO-1 :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 01:38:02] TOPO :: DEPT: 2943.6,Phi: 0.1296, Vp: 2.667
[2025-05-09 01:38:02] base :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 01:38:02] Data range: 0 to 80
[2025-05-09 01:38:02] Best of swarm: 2.0723745381290115
[2025-05-09 01:38:02] Best of swarm: 1.5977077941024416e-14
[2025-05-09 01:38:03] Best of swarm: 5.5620671957305665e-11
[2025-05-09 01:38:04] Best of swarm: 1.2602791132029324e-11
[2025-05-09 01:38:04] Best of swarm: 9.576310831553588e-10
[2025-05-09 01:38:05] Best of swarm: 5.525992490590623e-15
[2025-05-09 01:38:06] Best of swarm: 1.8046548578892858
[2025-05-09 01:38:06] Best of swarm: 7.912933235045764e-12
[2025-05-09 01:38:06] Best of swarm: 7.07888387364029e-11
[2025-05-09 01:38:07] Best of swarm: 3.585904735696669e-13
[2025-05-09 01:38:07] Best of swarm: 5.867761787998107e-11
[2025-05-09 01:38:09] Best of swarm: 7.856484695896775e-12
[2025-05-09 01:38:09] Best of swarm: 2.4157690022609932
[2025-05-09 01:38:10] Best of swarm: 0.0009993144581792852
[2025-05-09 01:38:10] Best of swarm: 0.0009993588427649543
[2025-05-09 01:38:11] Best of swarm: 0.0009993177928665
[2025-05-09 01:38:12] Best of swarm: 0.0009992487627967371
[2025-05-09 01:38:13] Best of swarm: 0.0009993137733404444
