[2025-05-09 01:26:30] Starting experiment well=RO_31A_facies=7_iter=100_p=10_cmode=fixed_c1=[2.5,2.5]_c2=[1.5,1.5]_seed=414881
[2025-05-09 01:26:30] Parameters: {'well_name': 'RO_31A', 'facies': 7, 'iterations': 100, 'particles': 10, 'cmode': 0, 'c1_start': 2.5, 'c1_end': 2.5, 'c2_start': 1.5, 'c2_end': 1.5, 'seed': 414881, 'runtime': None, 'best_error': None, 'log_buffer': ['[2025-05-09 01:26:30] Starting experiment well=RO_31A_facies=7_iter=100_p=10_cmode=fixed_c1=[2.5,2.5]_c2=[1.5,1.5]_seed=414881'], 'id': 'well=RO_31A_facies=7_iter=100_p=10_cmode=fixed_c1=[2.5,2.5]_c2=[1.5,1.5]_seed=414881'}
[2025-05-09 01:26:30] Using random seed: 414881
[2025-05-09 01:26:34] HORIZONTE: (2943.6, 3089.8)
[2025-05-09 01:26:34] TOPO-1 :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 01:26:34] TOPO :: DEPT: 2943.6,Phi: 0.1296, Vp: 2.667
[2025-05-09 01:26:34] base :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 01:26:34] Data range: 0 to 80
[2025-05-09 01:26:34] Best of swarm: 2.0723745381290115
[2025-05-09 01:26:34] Best of swarm: 1.696818387169243e-07
[2025-05-09 01:26:35] Best of swarm: 1.3361828605335343e-05
[2025-05-09 01:26:36] Best of swarm: 4.4283507243934285e-08
[2025-05-09 01:26:36] Best of swarm: 8.198206398648086e-08
[2025-05-09 01:26:38] Best of swarm: 7.287048672429513e-05
[2025-05-09 01:26:38] Best of swarm: 1.8046548578892858
[2025-05-09 01:26:38] Best of swarm: 1.629369829639188e-05
[2025-05-09 01:26:39] Best of swarm: 4.4035557628923926e-05
[2025-05-09 01:26:40] Best of swarm: 0.0001024425652016956
[2025-05-09 01:26:40] Best of swarm: 3.06281828318588e-08
[2025-05-09 01:26:42] Best of swarm: 1.4677522588443704e-08
[2025-05-09 01:26:42] Best of swarm: 2.4157690022609932
[2025-05-09 01:26:42] Best of swarm: 0.0009993144581792852
[2025-05-09 01:26:43] Best of swarm: 0.0009993588427649543
[2025-05-09 01:26:44] Best of swarm: 0.0009993177928665
[2025-05-09 01:26:44] Best of swarm: 0.0009992487627967371
[2025-05-09 01:26:46] Best of swarm: 0.0009993137733404444
[2025-05-09 01:26:46] Best of swarm: 1.4679125982677055
